views,content,area,content_tokens
4,SORRYPO I-NINTERVIEW AKO ,3,"['sorrypo', 'i-ninterview', 'ako']"
2,  ,0,[]
2,-more bad news ,3,"['-more', 'bad', 'news']"
4,1977 VLOG ,1,"['1977', 'vlog']"
4,aipur Golden there LEGAL NOTICE ,3,"['aipur', 'golden', 'there', 'legal', 'notic']"
3,R Depok Purwakart Sukahumi Bandung West Garl Surabay Ta Past A Kediri D Mr PERJALANAN PENHH PERJUANGAN ,3,"['r', 'depok', 'purwakart', 'sukahumi', 'bandung', 'west', 'garl', 'surabay', 'ta', 'past', 'a', 'kediri', 'd', 'mr', 'perjalanan', 'penhh', 'perjuangan']"
3,  ,0,[]
3,VLOG SA KAMPA *upali u jezero ,3,"['vlog', 'sa', 'kampa', '*', 'upali', 'u', 'jezero']"
4,  ,0,[]
3,apartment visit. ,2,"['apart', 'visit', '.']"
3,Cafe vlog un ,2,"['cafe', 'vlog', 'un']"
1,VLOG DE AVELLANEDA ! FLORES ,3,"['vlog', 'de', 'avellaneda', '!', 'flore']"
2,OKIS ,2,['oki']
4,SO )BLLION PESOS $ ,3,"['so', ')', 'bllion', 'peso', '$']"
3,  ,0,[]
3,LOUIS VUITTON ,2,"['loui', 'vuitton']"
4,I'M BACK! ,2,"['i', ""'m"", 'back', '!']"
3,POWROT DO SZKOLY PO 7 MIESIACACH ,3,"['powrot', 'do', 'szkoli', 'po', '7', 'miesiacach']"
2,VLOG Nove vlasy & Nakupy ,2,"['vlog', 'nove', 'vlasi', '&', 'nakupi']"
3,30TL RAPSUL OTEL ,3,"['30tl', 'rapsul', 'otel']"
1,  ,0,[]
3,inueva MASCOTA! ,3,"['inueva', 'mascota', '!']"
3,  ,0,[]
3,R O B Y S EID 2021 VLOG #2 ,2,"['r', 'o', 'b', 'y', 's', 'eid', '2021', 'vlog', '#', '2']"
4,FARM UPDATE ,3,"['farm', 'updat']"
2,A day in my life HAV TIME ,3,"['a', 'day', 'in', 'my', 'life', 'hav', 'time']"
4,SONAMBULA... REC ,2,"['sonambula', '...', 'rec']"
3,DOLL HOUSE TOUR ,3,"['doll', 'hous', 'tour']"
3,Ga Hap Chanh Xa ,2,"['ga', 'hap', 'chanh', 'xa']"
4,  ,0,[]
3,BAGONG LARUAN?! ION PERE ,2,"['bagong', 'laruan', '?', '!', 'ion', 'pere']"
2,DUBAI VLOG #3 3ff shopping FIRST DESIGNCR ENC ,3,"['dubai', 'vlog', '#', '3', '3ff', 'shop', 'first', 'designcr', 'enc']"
4,  ,0,[]
3,MINA What's In Our Bags? LVL ,3,"['mina', 'what', ""'s"", 'in', 'our', 'bag', '?', 'lvl']"
3,EL CUMPLE DE LA SUEGRA ,3,"['el', 'cumpl', 'de', 'la', 'suegra']"
2,WORLD'S LONGEST ay ANISH SINCH THAKUD ,3,"['world', ""'s"", 'longest', 'ay', 'anish', 'sinch', 'thakud']"
3,YAZ igin ALISVERIS VLOG ,3,"['yaz', 'igin', 'alisveri', 'vlog']"
1,exercicios t 1958 como faco minhas revisoes fichas pautadas ,2,"['exercicio', 't', '1958', 'como', 'faco', 'minha', 'reviso', 'ficha', 'pautada']"
3,#CHOELOS Mog chaneul ,2,"['#', 'choelo', 'mog', 'chaneul']"
2,weekly VLOG ,3,"['weekli', 'vlog']"
3,BUKA PUASA SHOOTING DI LOKASI ,2,"['buka', 'puasa', 'shoot', 'di', 'lokasi']"
4,Eid Vlog ,4,"['eid', 'vlog']"
3,REC DATE: VER: 199.42.80 ,2,"['rec', 'date', ':', 'ver', ':', '199.42.80']"
3,  ,0,[]
3,REC DATE: VER: 199.42.80 ,2,"['rec', 'date', ':', 'ver', ':', '199.42.80']"
3,  ,0,[]
3,T E R A S ,2,"['t', 'e', 'r', 'a', 's']"
4,MOM! ,2,"['mom', '!']"
4,FRENEMIES VLOG #1 TH H3 PODCAST ,3,"['frenemi', 'vlog', '#', '1', 'th', 'h3', 'podcast']"
3,Wow ,2,['wow']
3,Cafe Vlog ,2,"['cafe', 'vlog']"
1,  ,0,[]
2,be examenes finales semade ,3,"['be', 'examen', 'final', 'semad']"
3,VLOG #63 ,2,"['vlog', '#', '63']"
3,Khallun's Vlog#2 BirthDay ,3,"['khallun', ""'s"", 'vlog', '#', '2', 'birthday']"
4,HAPPY 9TH BIRTHDAY TYRONIA FOWLER ,3,"['happi', '9th', 'birthday', 'tyronia', 'fowler']"
3,Day la cach NMT Vlog. Tao ra ? VIDEO ,3,"['day', 'la', 'cach', 'nmt', 'vlog', '.', 'tao', 'ra', '?', 'video']"
